"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",26,5,24,14,3
"2021-01-01",51,5,31,16,5
"2021-02-01",54,6,29,16,5
"2021-03-01",58,8,28,15,5
"2021-04-01",38,9,26,15,4
"2021-05-01",49,11,28,15,4
"2021-06-01",52,10,24,13,4
"2021-07-01",54,12,23,13,4
"2021-08-01",53,9,25,14,3
"2021-09-01",52,8,18,13,4
"2021-10-01",42,5,22,13,3
"2021-11-01",38,5,26,13,3
"2021-12-01",37,4,21,14,2
"2022-01-01",77,6,31,17,4
"2022-02-01",73,6,27,16,4
"2022-03-01",74,7,26,14,4
"2022-04-01",64,9,25,14,4
"2022-05-01",64,10,26,14,3
"2022-06-01",69,9,24,14,4
"2022-07-01",61,12,22,15,3
"2022-08-01",64,9,19,15,3
"2022-09-01",70,9,21,13,4
"2022-10-01",73,6,24,14,3
"2022-11-01",72,5,23,13,3
"2022-12-01",64,4,21,12,2
"2023-01-01",100,5,25,17,4
"2023-02-01",89,5,25,15,5
"2023-03-01",85,7,22,16,4
"2023-04-01",73,8,22,15,4
"2023-05-01",72,10,26,14,4
"2023-06-01",68,10,22,14,3
"2023-07-01",68,13,25,14,3
"2023-08-01",69,11,25,14,3
"2023-09-01",72,9,28,14,3
"2023-10-01",76,6,26,14,3
"2023-11-01",66,5,23,14,3
"2023-12-01",55,4,17,14,2
"2024-01-01",71,6,20,17,3
"2024-02-01",67,7,24,16,3
"2024-03-01",61,8,26,16,3
"2024-04-01",53,10,30,16,3
"2024-05-01",53,10,36,14,3
"2024-06-01",46,9,28,14,3
"2024-07-01",45,12,26,14,3
"2024-08-01",47,12,35,15,3
"2024-09-01",52,8,33,14,3
"2024-10-01",53,6,31,13,3
"2024-11-01",41,5,26,13,2
"2024-12-01",45,4,22,12,2
"2025-01-01",69,5,34,15,3
"2025-02-01",60,5,31,15,3
"2025-03-01",57,7,36,14,3
"2025-04-01",48,9,34,14,3
"2025-05-01",43,9,34,12,2
"2025-06-01",48,9,33,14,2
"2025-07-01",46,12,31,13,2
"2025-08-01",45,9,32,14,3
"2025-09-01",48,12,33,12,2
"2025-10-01",49,6,30,11,2
"2025-11-01",58,8,37,14,3
"2025-12-01",57,8,33,14,3
"2026-01-01",78,8,39,15,3
"2026-02-01",68,15,35,23,3
"2026-03-01",66,12,42,14,4
