"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",35,14,30,22,16
"2021-01-01",41,13,30,23,17
"2021-02-01",30,16,32,20,18
"2021-03-01",35,12,29,22,19
"2021-04-01",34,12,32,21,24
"2021-05-01",49,13,29,26,15
"2021-06-01",59,14,32,34,24
"2021-07-01",56,13,33,29,19
"2021-08-01",55,11,33,27,21
"2021-09-01",51,12,44,24,16
"2021-10-01",42,11,73,22,15
"2021-11-01",52,12,63,23,15
"2021-12-01",40,11,47,22,14
"2022-01-01",42,11,54,22,13
"2022-02-01",54,11,53,33,16
"2022-03-01",54,11,45,31,18
"2022-04-01",46,15,41,23,17
"2022-05-01",51,11,37,27,14
"2022-06-01",54,12,41,32,18
"2022-07-01",57,12,33,26,17
"2022-08-01",59,13,36,27,18
"2022-09-01",61,14,56,26,17
"2022-10-01",58,17,100,28,18
"2022-11-01",53,22,50,25,15
"2022-12-01",54,20,73,23,15
"2023-01-01",58,20,66,23,15
"2023-02-01",66,14,61,24,16
"2023-03-01",56,11,53,25,19
"2023-04-01",52,8,58,21,15
"2023-05-01",77,11,70,26,19
"2023-06-01",65,9,51,30,18
"2023-07-01",90,8,60,30,20
"2023-08-01",84,8,67,26,19
"2023-09-01",87,8,60,25,18
"2023-10-01",67,11,59,25,18
"2023-11-01",69,9,52,24,17
"2023-12-01",59,8,73,23,16
"2024-01-01",70,7,54,24,17
"2024-02-01",72,7,56,25,17
"2024-03-01",55,6,77,20,19
"2024-04-01",68,6,51,22,15
"2024-05-01",73,7,54,27,19
"2024-06-01",89,6,38,28,14
"2024-07-01",90,6,42,27,16
"2024-08-01",84,6,48,26,15
"2024-09-01",90,19,75,28,17
"2024-10-01",72,9,59,24,15
"2024-11-01",73,8,60,24,13
"2024-12-01",73,6,63,21,13
"2025-01-01",75,6,53,25,13
"2025-02-01",71,6,43,24,14
"2025-03-01",66,5,55,20,13
"2025-04-01",85,7,51,25,12
"2025-05-01",76,7,47,26,12
"2025-06-01",95,9,42,32,10
"2025-07-01",92,7,40,25,11
"2025-08-01",92,7,38,23,11
"2025-09-01",99,18,45,21,11
"2025-10-01",81,12,51,22,12
"2025-11-01",96,16,67,28,13
"2025-12-01",97,16,69,26,12
"2026-01-01",99,13,55,29,11
"2026-02-01",98,23,73,40,12
"2026-03-01",85,13,58,21,10
