"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",56,4,29,28,2
"2021-01-01",71,4,37,39,3
"2021-02-01",66,4,27,30,3
"2021-03-01",58,5,37,29,3
"2021-04-01",53,6,32,27,3
"2021-05-01",54,6,30,25,3
"2021-06-01",49,6,30,24,3
"2021-07-01",57,8,33,25,2
"2021-08-01",73,6,36,33,3
"2021-09-01",68,6,28,29,3
"2021-10-01",68,4,26,30,2
"2021-11-01",68,3,23,29,3
"2021-12-01",67,3,24,25,2
"2022-01-01",90,4,27,35,3
"2022-02-01",73,4,26,30,3
"2022-03-01",73,6,27,26,4
"2022-04-01",63,6,29,26,3
"2022-05-01",54,8,29,23,3
"2022-06-01",55,7,31,23,3
"2022-07-01",61,9,32,26,3
"2022-08-01",71,8,38,27,3
"2022-09-01",67,6,34,26,3
"2022-10-01",73,5,27,30,3
"2022-11-01",73,4,23,27,3
"2022-12-01",71,4,23,24,3
"2023-01-01",95,5,28,39,4
"2023-02-01",80,6,26,34,4
"2023-03-01",71,8,32,33,4
"2023-04-01",60,9,40,27,4
"2023-05-01",56,11,45,26,3
"2023-06-01",54,12,41,24,3
"2023-07-01",68,16,46,33,3
"2023-08-01",77,12,48,33,3
"2023-09-01",72,9,42,33,3
"2023-10-01",75,6,35,33,3
"2023-11-01",75,6,31,36,4
"2023-12-01",69,5,24,28,3
"2024-01-01",90,7,33,39,4
"2024-02-01",76,8,36,34,3
"2024-03-01",65,9,42,32,4
"2024-04-01",59,10,44,29,4
"2024-05-01",50,12,54,24,3
"2024-06-01",55,12,45,23,3
"2024-07-01",58,19,47,26,3
"2024-08-01",63,15,57,28,3
"2024-09-01",66,11,45,28,3
"2024-10-01",68,7,38,29,3
"2024-11-01",70,6,36,29,3
"2024-12-01",72,6,28,25,3
"2025-01-01",86,7,34,36,4
"2025-02-01",75,7,35,29,3
"2025-03-01",66,9,45,27,3
"2025-04-01",60,11,48,26,3
"2025-05-01",55,11,58,23,3
"2025-06-01",57,13,50,21,2
"2025-07-01",63,16,46,25,2
"2025-08-01",67,13,56,27,2
"2025-09-01",66,11,49,28,3
"2025-10-01",75,8,38,26,3
"2025-11-01",78,7,38,26,3
"2025-12-01",83,8,33,28,3
"2026-01-01",100,9,35,34,4
"2026-02-01",85,13,41,32,3
"2026-03-01",75,14,47,26,3
