"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",44,30,53,33,6
"2021-01-01",48,25,47,37,7
"2021-02-01",43,26,49,34,6
"2021-03-01",44,30,49,38,7
"2021-04-01",46,28,43,36,7
"2021-05-01",40,34,50,32,7
"2021-06-01",40,37,55,34,7
"2021-07-01",48,38,51,32,6
"2021-08-01",49,37,52,32,6
"2021-09-01",44,30,39,30,6
"2021-10-01",47,33,47,32,6
"2021-11-01",47,29,46,32,6
"2021-12-01",49,28,41,29,4
"2022-01-01",52,28,47,34,7
"2022-02-01",50,28,43,30,7
"2022-03-01",58,29,43,30,6
"2022-04-01",57,28,42,32,6
"2022-05-01",61,26,33,34,6
"2022-06-01",67,26,41,35,6
"2022-07-01",62,26,46,32,6
"2022-08-01",67,22,45,30,6
"2022-09-01",60,22,40,30,6
"2022-10-01",70,20,45,34,6
"2022-11-01",71,18,41,28,6
"2022-12-01",73,19,43,26,6
"2023-01-01",85,19,42,31,6
"2023-02-01",71,22,45,31,6
"2023-03-01",65,20,44,35,6
"2023-04-01",63,22,51,35,6
"2023-05-01",74,22,59,36,6
"2023-06-01",69,22,48,36,6
"2023-07-01",68,21,50,34,6
"2023-08-01",65,20,44,34,6
"2023-09-01",62,19,45,33,6
"2023-10-01",63,19,41,32,6
"2023-11-01",62,17,39,31,6
"2023-12-01",65,15,41,31,5
"2024-01-01",69,15,39,30,6
"2024-02-01",52,18,46,30,6
"2024-03-01",60,18,44,34,6
"2024-04-01",61,19,51,34,7
"2024-05-01",65,20,49,33,6
"2024-06-01",67,19,46,34,6
"2024-07-01",59,20,50,32,7
"2024-08-01",67,26,49,31,6
"2024-09-01",62,19,47,33,7
"2024-10-01",58,17,51,31,6
"2024-11-01",59,15,49,27,5
"2024-12-01",63,15,47,25,6
"2025-01-01",69,14,46,28,6
"2025-02-01",65,16,49,41,6
"2025-03-01",64,16,47,33,6
"2025-04-01",68,16,58,28,6
"2025-05-01",71,18,60,28,6
"2025-06-01",79,18,55,34,6
"2025-07-01",74,20,51,30,6
"2025-08-01",75,17,55,28,6
"2025-09-01",69,16,56,27,6
"2025-10-01",62,16,53,25,5
"2025-11-01",84,19,64,28,6
"2025-12-01",91,19,64,27,6
"2026-01-01",100,21,70,30,8
"2026-02-01",92,24,74,33,6
"2026-03-01",95,23,78,30,8
