"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",38,8,30,44,9
"2021-01-01",54,8,56,54,0
"2021-02-01",52,12,48,40,0
"2021-03-01",56,13,34,42,0
"2021-04-01",62,21,36,55,9
"2021-05-01",64,18,42,59,12
"2021-06-01",79,22,42,50,12
"2021-07-01",79,21,36,60,9
"2021-08-01",80,16,37,51,9
"2021-09-01",73,18,26,63,0
"2021-10-01",54,9,29,53,0
"2021-11-01",62,10,48,44,0
"2021-12-01",62,10,37,46,9
"2022-01-01",65,14,52,36,0
"2022-02-01",63,11,43,41,11
"2022-03-01",47,15,45,39,13
"2022-04-01",43,12,32,30,13
"2022-05-01",62,10,34,38,10
"2022-06-01",65,13,33,41,14
"2022-07-01",34,15,29,31,18
"2022-08-01",31,14,30,35,11
"2022-09-01",28,8,23,40,14
"2022-10-01",27,11,37,36,18
"2022-11-01",28,9,39,33,15
"2022-12-01",23,13,37,34,13
"2023-01-01",35,16,43,38,10
"2023-02-01",28,15,33,29,15
"2023-03-01",33,11,42,35,9
"2023-04-01",37,13,36,36,12
"2023-05-01",38,12,58,37,18
"2023-06-01",39,17,50,37,15
"2023-07-01",51,15,31,40,10
"2023-08-01",45,19,35,43,12
"2023-09-01",37,15,40,44,11
"2023-10-01",31,13,41,43,9
"2023-11-01",30,11,46,41,14
"2023-12-01",34,13,36,32,9
"2024-01-01",36,13,37,26,10
"2024-02-01",43,12,45,37,12
"2024-03-01",19,8,33,26,9
"2024-04-01",43,13,36,44,0
"2024-05-01",43,10,46,39,15
"2024-06-01",41,12,38,40,11
"2024-07-01",46,12,40,30,15
"2024-08-01",39,13,32,37,9
"2024-09-01",37,9,34,44,7
"2024-10-01",34,12,37,38,10
"2024-11-01",34,7,40,33,0
"2024-12-01",35,9,35,43,0
"2025-01-01",38,8,43,29,6
"2025-02-01",40,8,34,36,0
"2025-03-01",30,10,31,32,6
"2025-04-01",37,6,44,39,7
"2025-05-01",37,9,39,35,9
"2025-06-01",49,0,45,47,9
"2025-07-01",51,12,32,31,6
"2025-08-01",34,6,41,26,7
"2025-09-01",33,13,26,33,6
"2025-10-01",32,10,24,29,7
"2025-11-01",45,17,48,36,10
"2025-12-01",46,13,45,38,9
"2026-01-01",46,14,43,32,10
"2026-02-01",74,41,100,91,14
"2026-03-01",51,20,47,32,8
