"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",20,8,92,16,2
"2021-01-01",16,10,85,14,2
"2021-02-01",17,10,81,15,2
"2021-03-01",19,9,78,16,2
"2021-04-01",20,9,73,17,2
"2021-05-01",14,11,75,18,2
"2021-06-01",16,11,73,17,2
"2021-07-01",13,11,78,16,2
"2021-08-01",14,10,84,15,3
"2021-09-01",17,10,75,16,3
"2021-10-01",20,9,77,13,3
"2021-11-01",20,10,74,14,2
"2021-12-01",15,9,71,11,2
"2022-01-01",26,11,85,15,2
"2022-02-01",19,9,85,13,3
"2022-03-01",18,9,75,12,3
"2022-04-01",18,8,67,13,2
"2022-05-01",19,8,85,13,2
"2022-06-01",20,8,90,13,2
"2022-07-01",22,9,88,12,2
"2022-08-01",22,8,87,12,2
"2022-09-01",20,8,86,11,3
"2022-10-01",22,8,84,11,2
"2022-11-01",22,8,90,11,2
"2022-12-01",21,7,82,10,2
"2023-01-01",24,8,81,12,2
"2023-02-01",23,9,83,13,2
"2023-03-01",22,8,72,12,2
"2023-04-01",20,7,67,11,2
"2023-05-01",22,8,69,10,2
"2023-06-01",20,8,76,12,4
"2023-07-01",21,9,83,12,4
"2023-08-01",22,8,78,13,4
"2023-09-01",20,8,77,12,4
"2023-10-01",21,7,82,11,4
"2023-11-01",20,8,84,12,4
"2023-12-01",20,7,69,11,3
"2024-01-01",21,8,68,12,4
"2024-02-01",22,8,61,13,4
"2024-03-01",23,8,58,13,4
"2024-04-01",22,7,52,12,3
"2024-05-01",21,7,61,14,4
"2024-06-01",27,8,62,12,3
"2024-07-01",26,8,64,13,4
"2024-08-01",24,9,67,13,4
"2024-09-01",22,7,61,12,4
"2024-10-01",22,7,55,12,4
"2024-11-01",24,9,69,12,4
"2024-12-01",23,8,66,12,3
"2025-01-01",27,9,61,13,4
"2025-02-01",25,9,62,12,4
"2025-03-01",25,8,55,12,4
"2025-04-01",25,8,60,12,3
"2025-05-01",23,8,63,12,3
"2025-06-01",25,7,67,12,3
"2025-07-01",24,8,75,12,4
"2025-08-01",23,8,80,12,4
"2025-09-01",20,8,79,12,4
"2025-10-01",22,9,84,11,3
"2025-11-01",27,9,90,14,3
"2025-12-01",27,9,98,12,3
"2026-01-01",32,9,100,14,4
"2026-02-01",34,12,95,23,3
"2026-03-01",29,11,95,14,4
