"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",58,8,29,26,8
"2021-01-01",49,7,28,30,9
"2021-02-01",65,7,32,47,10
"2021-03-01",63,9,27,34,10
"2021-04-01",58,10,27,29,7
"2021-05-01",61,10,27,31,9
"2021-06-01",66,13,24,29,10
"2021-07-01",48,16,23,26,8
"2021-08-01",76,14,24,28,8
"2021-09-01",73,11,25,28,7
"2021-10-01",67,8,30,31,7
"2021-11-01",60,9,31,30,6
"2021-12-01",57,8,27,25,5
"2022-01-01",58,7,24,33,7
"2022-02-01",65,10,28,31,10
"2022-03-01",69,10,27,25,10
"2022-04-01",58,12,29,22,10
"2022-05-01",71,11,26,24,10
"2022-06-01",84,12,22,22,14
"2022-07-01",69,13,25,23,12
"2022-08-01",68,12,23,22,12
"2022-09-01",62,11,25,22,12
"2022-10-01",69,13,25,20,11
"2022-11-01",53,12,25,18,8
"2022-12-01",49,9,25,22,7
"2023-01-01",62,9,25,30,8
"2023-02-01",59,9,23,23,11
"2023-03-01",68,9,28,19,10
"2023-04-01",72,8,29,19,9
"2023-05-01",79,10,29,19,11
"2023-06-01",82,11,24,20,11
"2023-07-01",86,12,23,20,11
"2023-08-01",79,10,25,19,9
"2023-09-01",68,9,26,21,8
"2023-10-01",58,10,26,19,9
"2023-11-01",54,7,27,18,8
"2023-12-01",55,7,22,19,7
"2024-01-01",62,6,25,32,8
"2024-02-01",71,7,29,22,10
"2024-03-01",67,7,26,18,9
"2024-04-01",70,7,25,21,8
"2024-05-01",69,7,22,22,11
"2024-06-01",82,8,22,20,9
"2024-07-01",87,10,24,20,10
"2024-08-01",81,9,28,22,9
"2024-09-01",78,7,23,20,9
"2024-10-01",78,7,27,20,8
"2024-11-01",67,7,30,23,8
"2024-12-01",67,6,25,21,6
"2025-01-01",69,6,26,39,6
"2025-02-01",71,6,29,26,9
"2025-03-01",64,7,27,22,6
"2025-04-01",85,8,32,26,8
"2025-05-01",76,9,27,26,9
"2025-06-01",80,11,28,25,6
"2025-07-01",79,8,26,20,7
"2025-08-01",75,8,27,18,7
"2025-09-01",83,10,25,17,7
"2025-10-01",69,9,28,19,6
"2025-11-01",71,10,37,18,7
"2025-12-01",77,9,31,22,7
"2026-01-01",71,9,32,34,6
"2026-02-01",100,29,63,59,9
"2026-03-01",74,12,38,20,7
