"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",14,3,58,33,10
"2021-01-01",16,3,59,34,10
"2021-02-01",30,6,55,33,9
"2021-03-01",41,7,56,30,9
"2021-04-01",27,15,53,30,9
"2021-05-01",30,12,53,33,9
"2021-06-01",70,11,52,28,10
"2021-07-01",70,10,44,24,7
"2021-08-01",65,9,42,25,7
"2021-09-01",61,8,44,23,6
"2021-10-01",59,7,48,25,6
"2021-11-01",52,8,43,24,6
"2021-12-01",48,7,37,21,6
"2022-01-01",53,7,44,27,8
"2022-02-01",75,10,52,28,8
"2022-03-01",67,9,54,27,9
"2022-04-01",59,20,57,24,8
"2022-05-01",69,10,56,27,9
"2022-06-01",77,10,49,26,10
"2022-07-01",72,10,45,25,9
"2022-08-01",75,10,44,27,9
"2022-09-01",77,10,44,25,7
"2022-10-01",83,10,53,26,7
"2022-11-01",67,9,51,23,8
"2022-12-01",76,9,46,23,7
"2023-01-01",79,8,44,25,7
"2023-02-01",77,6,36,20,5
"2023-03-01",69,7,48,23,7
"2023-04-01",62,7,51,24,7
"2023-05-01",76,8,55,24,8
"2023-06-01",80,7,49,25,8
"2023-07-01",86,8,45,25,9
"2023-08-01",74,7,44,25,8
"2023-09-01",80,7,49,25,7
"2023-10-01",77,10,57,24,6
"2023-11-01",64,5,51,23,7
"2023-12-01",68,5,45,23,7
"2024-01-01",71,5,45,25,7
"2024-02-01",82,6,51,27,8
"2024-03-01",74,6,47,25,7
"2024-04-01",78,9,54,25,8
"2024-05-01",81,8,56,26,8
"2024-06-01",87,7,45,23,7
"2024-07-01",88,7,45,26,9
"2024-08-01",73,6,47,25,7
"2024-09-01",79,6,50,25,6
"2024-10-01",72,5,51,25,6
"2024-11-01",70,5,55,25,6
"2024-12-01",72,5,48,25,7
"2025-01-01",75,5,47,26,6
"2025-02-01",72,5,51,24,6
"2025-03-01",66,5,47,21,6
"2025-04-01",85,9,55,24,8
"2025-05-01",78,9,55,23,8
"2025-06-01",87,7,50,23,6
"2025-07-01",77,6,45,21,8
"2025-08-01",67,5,44,19,6
"2025-09-01",76,5,45,20,5
"2025-10-01",75,5,52,20,5
"2025-11-01",87,8,64,25,6
"2025-12-01",83,8,50,22,6
"2026-01-01",83,15,50,24,6
"2026-02-01",100,20,74,44,6
"2026-03-01",79,10,58,22,6
