"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",82,6,28,66,6
"2021-01-01",73,5,37,59,10
"2021-02-01",91,7,40,50,10
"2021-03-01",85,12,47,57,10
"2021-04-01",75,6,43,56,8
"2021-05-01",80,8,47,55,6
"2021-06-01",100,7,45,62,8
"2021-07-01",92,11,43,63,8
"2021-08-01",88,11,45,59,10
"2021-09-01",69,8,43,53,8
"2021-10-01",73,8,45,51,7
"2021-11-01",75,6,41,51,10
"2021-12-01",69,9,32,56,7
"2022-01-01",59,7,38,50,7
"2022-02-01",65,8,46,42,12
"2022-03-01",75,7,45,50,11
"2022-04-01",65,6,40,45,9
"2022-05-01",68,4,29,39,10
"2022-06-01",82,9,43,51,9
"2022-07-01",79,8,45,43,12
"2022-08-01",80,10,48,44,8
"2022-09-01",70,6,49,42,9
"2022-10-01",69,6,42,42,8
"2022-11-01",58,5,32,32,8
"2022-12-01",61,7,34,32,8
"2023-01-01",66,9,38,43,12
"2023-02-01",68,8,43,44,11
"2023-03-01",59,5,36,39,9
"2023-04-01",64,4,30,31,11
"2023-05-01",62,6,36,31,9
"2023-06-01",64,5,37,46,8
"2023-07-01",71,7,38,33,9
"2023-08-01",65,8,30,32,10
"2023-09-01",63,5,32,35,9
"2023-10-01",71,8,29,34,7
"2023-11-01",60,4,24,26,8
"2023-12-01",51,5,25,28,5
"2024-01-01",55,4,21,28,6
"2024-02-01",57,7,28,28,10
"2024-03-01",58,5,22,28,6
"2024-04-01",61,5,27,28,6
"2024-05-01",53,4,27,24,9
"2024-06-01",63,5,25,37,5
"2024-07-01",64,8,30,28,6
"2024-08-01",64,9,33,28,7
"2024-09-01",60,8,27,29,5
"2024-10-01",54,4,30,23,4
"2024-11-01",58,4,26,24,7
"2024-12-01",55,3,25,32,6
"2025-01-01",54,3,27,32,6
"2025-02-01",52,5,36,29,6
"2025-03-01",54,4,39,27,6
"2025-04-01",56,5,40,29,8
"2025-05-01",57,0,38,23,3
"2025-06-01",65,5,39,30,7
"2025-07-01",62,5,46,29,4
"2025-08-01",66,4,46,25,5
"2025-09-01",60,3,38,29,3
"2025-10-01",58,4,39,26,0
"2025-11-01",69,5,33,25,5
"2025-12-01",65,4,34,27,5
"2026-01-01",63,8,32,23,4
"2026-02-01",67,12,45,32,6
"2026-03-01",56,8,34,26,4
