"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",75,8,45,55,7
"2021-01-01",77,0,40,51,11
"2021-02-01",65,6,44,47,11
"2021-03-01",68,0,51,48,13
"2021-04-01",70,8,46,45,12
"2021-05-01",66,12,47,49,11
"2021-06-01",76,12,57,62,16
"2021-07-01",87,19,79,62,17
"2021-08-01",76,10,78,47,13
"2021-09-01",71,9,34,58,10
"2021-10-01",70,8,44,49,11
"2021-11-01",67,6,48,43,15
"2021-12-01",66,8,38,48,9
"2022-01-01",69,8,47,47,10
"2022-02-01",73,12,50,41,19
"2022-03-01",72,11,48,36,14
"2022-04-01",70,10,51,42,12
"2022-05-01",69,16,38,42,17
"2022-06-01",89,12,69,45,16
"2022-07-01",81,10,65,40,12
"2022-08-01",83,9,53,40,11
"2022-09-01",72,13,49,30,9
"2022-10-01",70,10,42,31,15
"2022-11-01",68,7,45,28,13
"2022-12-01",77,6,37,34,13
"2023-01-01",80,6,38,33,12
"2023-02-01",79,8,41,35,13
"2023-03-01",62,11,46,33,13
"2023-04-01",67,7,37,30,11
"2023-05-01",71,9,55,37,10
"2023-06-01",100,11,48,41,13
"2023-07-01",87,21,44,32,11
"2023-08-01",85,12,43,29,9
"2023-09-01",79,8,34,33,11
"2023-10-01",74,6,32,31,14
"2023-11-01",72,5,30,28,9
"2023-12-01",66,5,25,31,6
"2024-01-01",85,8,28,37,9
"2024-02-01",80,7,25,29,9
"2024-03-01",67,8,33,25,10
"2024-04-01",72,7,28,25,9
"2024-05-01",76,11,27,31,9
"2024-06-01",93,13,33,44,14
"2024-07-01",93,30,37,34,10
"2024-08-01",77,23,46,35,6
"2024-09-01",71,10,31,32,11
"2024-10-01",74,10,25,27,9
"2024-11-01",71,6,25,31,7
"2024-12-01",81,5,22,29,7
"2025-01-01",82,5,25,33,6
"2025-02-01",76,7,26,27,10
"2025-03-01",77,9,28,26,10
"2025-04-01",76,7,33,27,9
"2025-05-01",83,8,25,32,8
"2025-06-01",89,9,35,40,13
"2025-07-01",94,26,38,26,10
"2025-08-01",77,8,30,27,6
"2025-09-01",78,12,32,28,9
"2025-10-01",75,8,26,20,6
"2025-11-01",78,11,28,26,7
"2025-12-01",87,6,23,31,5
"2026-01-01",85,8,27,30,5
"2026-02-01",86,10,31,31,6
"2026-03-01",78,8,34,25,8
