"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",47,13,56,35,9
"2021-01-01",56,13,54,38,10
"2021-02-01",53,13,53,34,10
"2021-03-01",55,14,54,33,9
"2021-04-01",55,15,57,34,9
"2021-05-01",56,15,58,34,9
"2021-06-01",65,16,59,35,9
"2021-07-01",68,18,62,34,8
"2021-08-01",68,15,60,34,8
"2021-09-01",60,13,45,32,8
"2021-10-01",55,12,53,31,7
"2021-11-01",64,11,55,33,7
"2021-12-01",61,10,50,31,7
"2022-01-01",72,12,54,38,9
"2022-02-01",69,12,55,36,10
"2022-03-01",70,13,62,35,10
"2022-04-01",61,14,65,34,9
"2022-05-01",60,14,48,32,9
"2022-06-01",68,15,59,35,9
"2022-07-01",68,17,66,35,9
"2022-08-01",70,15,65,33,8
"2022-09-01",62,14,56,32,8
"2022-10-01",67,12,58,32,9
"2022-11-01",72,11,55,32,9
"2022-12-01",77,10,51,34,8
"2023-01-01",90,12,51,41,11
"2023-02-01",82,12,56,38,11
"2023-03-01",73,13,57,39,10
"2023-04-01",65,13,56,37,9
"2023-05-01",67,14,68,37,9
"2023-06-01",68,16,56,40,9
"2023-07-01",70,17,54,37,8
"2023-08-01",66,14,54,35,8
"2023-09-01",63,13,53,35,8
"2023-10-01",59,12,50,34,9
"2023-11-01",62,11,53,34,8
"2023-12-01",65,11,48,34,8
"2024-01-01",78,11,47,40,9
"2024-02-01",71,12,54,39,9
"2024-03-01",69,13,57,38,9
"2024-04-01",64,13,59,37,9
"2024-05-01",67,15,61,32,8
"2024-06-01",67,16,55,35,8
"2024-07-01",67,18,55,33,8
"2024-08-01",67,17,60,34,7
"2024-09-01",61,13,54,34,8
"2024-10-01",59,11,55,31,8
"2024-11-01",63,10,53,34,8
"2024-12-01",69,10,50,32,8
"2025-01-01",81,11,50,42,11
"2025-02-01",73,11,54,38,10
"2025-03-01",71,12,61,36,10
"2025-04-01",68,13,64,39,9
"2025-05-01",68,15,64,35,8
"2025-06-01",74,17,62,40,9
"2025-07-01",82,20,65,62,9
"2025-08-01",69,16,64,37,8
"2025-09-01",67,15,61,34,8
"2025-10-01",66,13,57,32,8
"2025-11-01",75,12,66,32,8
"2025-12-01",87,13,58,35,8
"2026-01-01",100,13,56,40,10
"2026-02-01",96,20,70,48,11
"2026-03-01",88,17,74,39,11
