"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",56,10,25,19,7
"2021-01-01",60,14,30,25,8
"2021-02-01",64,16,25,27,8
"2021-03-01",59,15,22,23,6
"2021-04-01",40,16,30,22,9
"2021-05-01",57,14,25,18,8
"2021-06-01",60,16,24,22,8
"2021-07-01",72,26,25,21,7
"2021-08-01",74,21,28,21,7
"2021-09-01",66,16,26,21,6
"2021-10-01",64,13,26,21,6
"2021-11-01",55,11,23,19,6
"2021-12-01",55,11,22,16,6
"2022-01-01",65,13,25,24,6
"2022-02-01",67,23,23,23,7
"2022-03-01",67,22,24,22,5
"2022-04-01",61,86,29,23,5
"2022-05-01",59,15,26,22,5
"2022-06-01",65,11,25,26,5
"2022-07-01",72,15,23,20,5
"2022-08-01",81,16,24,25,6
"2022-09-01",78,15,29,23,6
"2022-10-01",76,12,26,23,7
"2022-11-01",71,10,24,20,6
"2022-12-01",64,9,21,18,6
"2023-01-01",85,17,27,23,6
"2023-02-01",80,36,25,22,6
"2023-03-01",81,29,29,26,6
"2023-04-01",69,99,31,24,5
"2023-05-01",70,13,29,22,5
"2023-06-01",65,13,23,23,5
"2023-07-01",76,20,24,23,5
"2023-08-01",87,19,26,21,5
"2023-09-01",82,15,27,22,7
"2023-10-01",76,15,29,20,6
"2023-11-01",70,10,26,20,6
"2023-12-01",72,11,23,20,4
"2024-01-01",92,15,29,22,6
"2024-02-01",89,32,28,23,6
"2024-03-01",76,89,28,23,4
"2024-04-01",76,26,34,21,5
"2024-05-01",69,14,27,21,6
"2024-06-01",68,10,24,18,4
"2024-07-01",75,18,24,19,5
"2024-08-01",85,22,28,17,5
"2024-09-01",86,12,28,19,6
"2024-10-01",79,11,28,18,7
"2024-11-01",72,11,28,20,6
"2024-12-01",76,10,28,20,5
"2025-01-01",91,14,37,23,6
"2025-02-01",88,18,33,22,6
"2025-03-01",77,28,29,19,5
"2025-04-01",71,97,36,20,5
"2025-05-01",68,13,30,19,5
"2025-06-01",73,12,30,21,4
"2025-07-01",80,15,31,19,5
"2025-08-01",79,13,33,19,5
"2025-09-01",81,21,40,18,5
"2025-10-01",80,15,35,18,5
"2025-11-01",77,13,40,19,5
"2025-12-01",78,15,34,16,5
"2026-01-01",100,16,42,19,5
"2026-02-01",93,32,38,19,5
"2026-03-01",88,63,38,19,5
