"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",61,7,55,83,5
"2021-01-01",69,6,60,71,7
"2021-02-01",62,10,69,69,6
"2021-03-01",54,12,48,73,6
"2021-04-01",52,27,68,73,6
"2021-05-01",63,18,72,77,10
"2021-06-01",62,13,67,93,8
"2021-07-01",65,10,39,86,9
"2021-08-01",64,11,46,92,7
"2021-09-01",65,13,50,80,4
"2021-10-01",54,19,53,76,6
"2021-11-01",60,18,61,72,4
"2021-12-01",54,13,60,77,4
"2022-01-01",72,11,78,85,4
"2022-02-01",57,22,86,68,4
"2022-03-01",49,12,56,64,6
"2022-04-01",46,19,72,61,5
"2022-05-01",60,15,62,74,5
"2022-06-01",63,12,60,81,5
"2022-07-01",66,10,50,86,7
"2022-08-01",66,13,40,89,0
"2022-09-01",66,21,52,65,5
"2022-10-01",63,41,62,62,4
"2022-11-01",63,43,53,58,4
"2022-12-01",58,16,52,58,5
"2023-01-01",61,14,45,67,9
"2023-02-01",59,17,49,59,8
"2023-03-01",55,19,52,62,7
"2023-04-01",48,31,60,63,7
"2023-05-01",61,17,68,65,7
"2023-06-01",66,14,52,77,7
"2023-07-01",77,10,43,83,9
"2023-08-01",71,10,40,77,11
"2023-09-01",60,17,52,57,8
"2023-10-01",53,16,47,55,9
"2023-11-01",49,12,52,53,7
"2023-12-01",44,11,40,50,4
"2024-01-01",53,11,36,58,10
"2024-02-01",54,9,42,56,6
"2024-03-01",55,11,38,63,6
"2024-04-01",61,11,53,66,6
"2024-05-01",62,10,52,66,8
"2024-06-01",75,6,37,74,7
"2024-07-01",92,9,37,67,7
"2024-08-01",76,10,37,72,8
"2024-09-01",67,11,51,66,6
"2024-10-01",66,12,47,52,8
"2024-11-01",63,8,51,58,5
"2024-12-01",57,7,38,53,5
"2025-01-01",71,8,39,58,7
"2025-02-01",64,7,33,56,6
"2025-03-01",64,7,40,54,6
"2025-04-01",70,10,52,58,4
"2025-05-01",74,9,44,57,4
"2025-06-01",95,15,55,71,6
"2025-07-01",100,12,42,64,5
"2025-08-01",82,8,42,58,5
"2025-09-01",70,10,47,47,3
"2025-10-01",59,9,45,49,6
"2025-11-01",91,19,77,61,8
"2025-12-01",78,14,56,47,5
"2026-01-01",82,14,47,56,5
"2026-02-01",91,25,67,65,6
"2026-03-01",75,17,56,54,5
