"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",86,11,40,71,11
"2021-01-01",65,9,36,60,10
"2021-02-01",63,10,37,58,13
"2021-03-01",73,11,45,74,17
"2021-04-01",82,17,51,84,20
"2021-05-01",76,18,47,81,22
"2021-06-01",68,22,43,81,25
"2021-07-01",69,23,47,87,35
"2021-08-01",66,21,47,100,46
"2021-09-01",59,24,55,87,38
"2021-10-01",60,18,69,66,26
"2021-11-01",61,30,87,65,21
"2021-12-01",46,30,78,58,19
"2022-01-01",42,31,61,54,18
"2022-02-01",49,23,49,52,21
"2022-03-01",46,37,61,56,18
"2022-04-01",47,36,53,54,20
"2022-05-01",44,27,48,56,22
"2022-06-01",60,18,47,65,21
"2022-07-01",63,17,59,63,23
"2022-08-01",68,18,67,67,27
"2022-09-01",60,19,66,62,23
"2022-10-01",60,26,93,59,21
"2022-11-01",49,23,64,55,19
"2022-12-01",42,24,52,46,16
"2023-01-01",40,18,46,40,15
"2023-02-01",48,23,57,56,18
"2023-03-01",69,35,53,64,19
"2023-04-01",75,36,33,61,17
"2023-05-01",77,27,59,59,19
"2023-06-01",83,18,39,73,18
"2023-07-01",91,19,30,69,20
"2023-08-01",81,20,33,65,19
"2023-09-01",83,19,35,65,17
"2023-10-01",75,21,37,65,18
"2023-11-01",77,22,37,67,16
"2023-12-01",74,21,38,70,14
"2024-01-01",73,20,33,62,13
"2024-02-01",77,22,37,60,9
"2024-03-01",89,33,46,64,16
"2024-04-01",84,33,45,66,14
"2024-05-01",84,26,42,67,15
"2024-06-01",87,19,34,63,14
"2024-07-01",86,19,32,66,15
"2024-08-01",86,21,35,66,14
"2024-09-01",77,14,32,61,13
"2024-10-01",79,20,42,58,14
"2024-11-01",76,23,40,55,14
"2024-12-01",68,21,36,53,12
"2025-01-01",69,19,31,53,10
"2025-02-01",76,19,29,54,12
"2025-03-01",80,22,37,59,12
"2025-04-01",82,29,41,60,12
"2025-05-01",91,21,35,61,12
"2025-06-01",99,21,37,67,14
"2025-07-01",82,20,24,48,14
"2025-08-01",77,17,25,47,14
"2025-09-01",70,17,23,42,11
"2025-10-01",66,16,25,42,11
"2025-11-01",74,18,32,44,10
"2025-12-01",76,19,34,44,11
"2026-01-01",78,17,30,43,10
"2026-02-01",98,35,67,76,9
"2026-03-01",86,20,41,45,11
