"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",65,17,39,27,6
"2021-01-01",79,20,46,29,8
"2021-02-01",74,17,44,29,9
"2021-03-01",66,19,39,25,9
"2021-04-01",67,19,41,26,8
"2021-05-01",63,18,40,26,7
"2021-06-01",76,17,40,25,8
"2021-07-01",65,20,40,25,7
"2021-08-01",71,17,43,25,7
"2021-09-01",69,16,32,25,8
"2021-10-01",65,15,41,24,7
"2021-11-01",65,15,39,23,7
"2021-12-01",61,13,35,24,5
"2022-01-01",85,18,50,28,8
"2022-02-01",80,18,52,24,10
"2022-03-01",75,19,47,21,9
"2022-04-01",69,15,47,19,6
"2022-05-01",67,15,36,20,7
"2022-06-01",72,13,45,22,7
"2022-07-01",73,16,51,23,6
"2022-08-01",71,14,55,21,7
"2022-09-01",74,15,55,21,7
"2022-10-01",75,16,47,21,8
"2022-11-01",72,17,45,20,7
"2022-12-01",70,14,38,21,5
"2023-01-01",94,19,56,25,8
"2023-02-01",84,19,50,22,9
"2023-03-01",76,17,50,20,9
"2023-04-01",69,15,47,22,5
"2023-05-01",65,14,54,20,7
"2023-06-01",65,14,52,19,5
"2023-07-01",73,17,53,21,5
"2023-08-01",72,15,53,20,6
"2023-09-01",69,14,56,20,5
"2023-10-01",69,12,44,19,5
"2023-11-01",72,14,44,19,6
"2023-12-01",69,13,40,20,4
"2024-01-01",90,16,52,22,6
"2024-02-01",83,16,54,21,6
"2024-03-01",74,17,48,19,6
"2024-04-01",71,14,51,20,5
"2024-05-01",71,13,50,19,5
"2024-06-01",68,14,47,20,4
"2024-07-01",76,17,44,20,4
"2024-08-01",76,17,53,21,5
"2024-09-01",73,14,45,18,5
"2024-10-01",73,14,49,18,5
"2024-11-01",73,13,50,20,5
"2024-12-01",76,12,43,20,4
"2025-01-01",96,15,66,21,6
"2025-02-01",82,15,58,21,5
"2025-03-01",80,17,59,20,5
"2025-04-01",79,17,56,19,4
"2025-05-01",71,14,49,18,4
"2025-06-01",71,13,58,20,5
"2025-07-01",78,16,54,18,5
"2025-08-01",75,13,56,17,5
"2025-09-01",76,14,56,16,4
"2025-10-01",71,14,52,16,5
"2025-11-01",75,13,57,17,4
"2025-12-01",82,13,49,17,3
"2026-01-01",100,16,66,18,5
"2026-02-01",100,22,75,25,5
"2026-03-01",81,18,65,16,5
