"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",80,10,42,50,18
"2021-01-01",75,8,43,55,12
"2021-02-01",80,16,57,49,14
"2021-03-01",64,12,60,50,19
"2021-04-01",72,10,60,60,22
"2021-05-01",75,8,63,46,16
"2021-06-01",69,13,68,55,16
"2021-07-01",74,16,62,57,15
"2021-08-01",79,11,51,50,13
"2021-09-01",90,14,45,52,17
"2021-10-01",74,11,48,37,21
"2021-11-01",83,14,44,45,14
"2021-12-01",80,0,51,46,14
"2022-01-01",80,12,57,54,14
"2022-02-01",73,10,60,43,20
"2022-03-01",80,9,61,30,21
"2022-04-01",76,12,48,37,18
"2022-05-01",73,10,44,34,21
"2022-06-01",82,13,58,40,29
"2022-07-01",74,12,62,43,25
"2022-08-01",71,8,54,34,18
"2022-09-01",69,10,51,30,17
"2022-10-01",69,7,52,28,22
"2022-11-01",65,8,60,29,24
"2022-12-01",89,11,56,31,12
"2023-01-01",82,13,53,28,16
"2023-02-01",86,9,55,30,18
"2023-03-01",79,8,57,26,21
"2023-04-01",74,9,40,27,17
"2023-05-01",67,9,56,26,19
"2023-06-01",73,10,55,33,16
"2023-07-01",82,10,45,32,20
"2023-08-01",73,5,35,36,18
"2023-09-01",76,8,34,25,15
"2023-10-01",77,12,33,21,16
"2023-11-01",80,9,33,25,10
"2023-12-01",78,10,32,27,10
"2024-01-01",87,8,33,25,9
"2024-02-01",84,6,40,24,11
"2024-03-01",84,7,42,27,14
"2024-04-01",78,12,38,26,13
"2024-05-01",80,12,35,34,11
"2024-06-01",85,6,42,34,15
"2024-07-01",97,10,41,38,14
"2024-08-01",88,6,36,30,11
"2024-09-01",81,8,45,35,12
"2024-10-01",89,7,29,26,10
"2024-11-01",82,5,31,28,11
"2024-12-01",78,6,29,28,9
"2025-01-01",93,7,31,24,9
"2025-02-01",92,5,32,22,10
"2025-03-01",72,9,39,18,8
"2025-04-01",77,7,36,24,11
"2025-05-01",84,9,34,23,19
"2025-06-01",92,11,44,32,15
"2025-07-01",96,12,41,26,17
"2025-08-01",99,7,35,22,8
"2025-09-01",73,9,37,18,12
"2025-10-01",87,13,35,22,11
"2025-11-01",97,5,41,22,7
"2025-12-01",87,6,31,20,5
"2026-01-01",100,8,40,18,12
"2026-02-01",94,11,43,21,11
"2026-03-01",97,11,43,25,11
