"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",69,10,44,34,13
"2021-01-01",69,10,77,42,15
"2021-02-01",73,8,80,39,22
"2021-03-01",78,5,73,39,14
"2021-04-01",72,10,63,41,14
"2021-05-01",72,11,64,29,14
"2021-06-01",77,0,61,34,13
"2021-07-01",60,12,76,41,16
"2021-08-01",77,17,63,44,12
"2021-09-01",75,9,38,36,16
"2021-10-01",70,7,70,35,14
"2021-11-01",68,12,61,34,9
"2021-12-01",64,10,52,32,13
"2022-01-01",79,9,57,35,13
"2022-02-01",74,8,62,25,15
"2022-03-01",84,10,72,25,20
"2022-04-01",80,9,57,27,10
"2022-05-01",65,8,49,30,9
"2022-06-01",70,10,64,29,16
"2022-07-01",71,13,53,25,12
"2022-08-01",80,9,59,25,12
"2022-09-01",75,12,58,26,13
"2022-10-01",79,12,54,23,11
"2022-11-01",84,7,40,23,10
"2022-12-01",82,9,43,33,0
"2023-01-01",88,7,47,25,17
"2023-02-01",90,12,57,21,15
"2023-03-01",80,7,61,20,11
"2023-04-01",85,7,53,23,11
"2023-05-01",80,9,62,22,8
"2023-06-01",92,7,55,24,13
"2023-07-01",78,16,52,25,8
"2023-08-01",83,9,42,29,14
"2023-09-01",98,8,37,24,12
"2023-10-01",78,5,50,18,6
"2023-11-01",84,11,40,18,8
"2023-12-01",81,7,51,27,9
"2024-01-01",97,9,50,34,11
"2024-02-01",86,0,58,18,10
"2024-03-01",95,10,62,19,8
"2024-04-01",82,8,48,22,7
"2024-05-01",87,11,49,18,12
"2024-06-01",96,7,48,19,6
"2024-07-01",95,13,47,22,12
"2024-08-01",99,12,51,21,8
"2024-09-01",86,6,37,22,9
"2024-10-01",80,5,38,22,9
"2024-11-01",93,10,46,19,5
"2024-12-01",92,7,35,21,5
"2025-01-01",87,7,40,21,6
"2025-02-01",98,8,52,21,8
"2025-03-01",84,8,50,16,9
"2025-04-01",87,9,45,20,6
"2025-05-01",100,9,40,25,9
"2025-06-01",96,13,53,25,12
"2025-07-01",98,15,45,22,9
"2025-08-01",88,0,43,19,10
"2025-09-01",87,9,44,19,7
"2025-10-01",79,7,46,21,6
"2025-11-01",86,9,45,16,6
"2025-12-01",80,6,43,21,5
"2026-01-01",94,4,46,18,6
"2026-02-01",92,8,62,20,6
"2026-03-01",87,9,59,20,9
